year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2016,"United States","USA","Germany","DEU",.0037944
2016,"United States","USA","Hungary","HUN",.0010929
2016,"United States","USA","India","IND",.0009003
2016,"United States","USA","Indonesia","IDN",.0033489
2016,"United States","USA","Italy","ITA",.002484
2016,"United States","USA","Japan","JPN",.0136039
2016,"United States","USA","Korea, Republic of","KOR",.0028315
2016,"United States","USA","Malaysia","MYS",.0013599
2016,"United States","USA","Mexico","MEX",.0069397
2016,"United States","USA","Philippines","PHL",.0009551
2016,"United States","USA","Poland","POL",.0012851
2016,"United States","USA","Russian Federation","RUS",.0013087
2016,"United States","USA","South Africa","ZAF",.0013069
2016,"United States","USA","Spain","ESP",.0014415
2016,"United States","USA","Turkey","TUR",.0014949
2016,"United States","USA","Ukraine","UKR",.0013862
2016,"United States","USA","United Kingdom","GBR",.0024667
2016,"United States","USA","United States","USA",.9158198
2015,"Australia","AUS","Australia","AUS",.4307705
2015,"Australia","AUS","Belgium","BEL",.0076596
2015,"Australia","AUS","Brazil","BRA",.0077804
2015,"Australia","AUS","Canada","CAN",.0455023
2015,"Australia","AUS","European Monetary Union","EMU",.1429799
2015,"Australia","AUS","France","FRA",.0455066
2015,"Australia","AUS","Germany","DEU",.019555
2015,"Australia","AUS","Indonesia","IDN",.0057021
2015,"Australia","AUS","Israel","ISR",.0063826
2015,"Australia","AUS","Italy","ITA",.0211197
2015,"Australia","AUS","Japan","JPN",.1152387
2015,"Australia","AUS","Korea, Republic of","KOR",.007659
2015,"Australia","AUS","Mexico","MEX",.017628
2015,"Australia","AUS","Netherlands","NLD",.0058692
2015,"Australia","AUS","Singapore","SGP",.0072284
2015,"Australia","AUS","Slovenia","SVN",.0099714
2015,"Australia","AUS","Spain","ESP",.022292
2015,"Australia","AUS","United Kingdom","GBR",.0268367
2015,"Australia","AUS","United States","USA",.1511478
2015,"Canada","CAN","Australia","AUS",.0051846
2015,"Canada","CAN","Brazil","BRA",.0044483
2015,"Canada","CAN","Canada","CAN",.8349931
2015,"Canada","CAN","European Monetary Union","EMU",.0257125
2015,"Canada","CAN","France","FRA",.0038478
2015,"Canada","CAN","Germany","DEU",.0052444
2015,"Canada","CAN","Hungary","HUN",.0017817
2015,"Canada","CAN","Indonesia","IDN",.003408
2015,"Canada","CAN","Italy","ITA",.0062783
2015,"Canada","CAN","Japan","JPN",.0130102
2015,"Canada","CAN","Korea, Republic of","KOR",.0024811
2015,"Canada","CAN","Mexico","MEX",.0085429
2015,"Canada","CAN","New Zealand","NZL",.0038169
2015,"Canada","CAN","Norway","NOR",.0018317
2015,"Canada","CAN","Philippines","PHL",.0025424
2015,"Canada","CAN","Poland","POL",.0021026
2015,"Canada","CAN","Portugal","PRT",.0018748
2015,"Canada","CAN","Singapore","SGP",.0019714
2015,"Canada","CAN","Spain","ESP",.004305
2015,"Canada","CAN","Sweden","SWE",.0018577
2015,"Canada","CAN","Turkey","TUR",.0017739
2015,"Canada","CAN","United Kingdom","GBR",.0060717
2015,"Canada","CAN","United States","USA",.0564448
2015,"Denmark","DNK","Argentina","ARG",.0153142
2015,"Denmark","DNK","Brazil","BRA",.0338669
2015,"Denmark","DNK","Colombia","COL",.0237682
2015,"Denmark","DNK","Croatia","HRV",.0081965
2015,"Denmark","DNK","Denmark","DNK",.2931879
2015,"Denmark","DNK","Dominican Republic","DOM",.0112572
2015,"Denmark","DNK","European Monetary Union","EMU",.1112403
2015,"Denmark","DNK","France","FRA",.0123766
2015,"Denmark","DNK","Germany","DEU",.0234398
2015,"Denmark","DNK","Hungary","HUN",.0222494
2015,"Denmark","DNK","Indonesia","IDN",.0240602
2015,"Denmark","DNK","Italy","ITA",.0286916
2015,"Denmark","DNK","Kazakhstan","KAZ",.0072826
2015,"Denmark","DNK","Malaysia","MYS",.0152563
2015,"Denmark","DNK","Mexico","MEX",.040601
2015,"Denmark","DNK","Panama","PAN",.0086363
2015,"Denmark","DNK","Peru","PER",.0155837
2015,"Denmark","DNK","Philippines","PHL",.0096466
2015,"Denmark","DNK","Poland","POL",.0194851
2015,"Denmark","DNK","Portugal","PRT",.0081844
2015,"Denmark","DNK","Romania","ROU",.012074
2015,"Denmark","DNK","Russian Federation","RUS",.0201178
2015,"Denmark","DNK","South Africa","ZAF",.0232457
2015,"Denmark","DNK","Spain","ESP",.0231623
2015,"Denmark","DNK","Sri Lanka","LKA",.0110268
2015,"Denmark","DNK","Thailand","THA",.0089873
2015,"Denmark","DNK","Turkey","TUR",.0364956
2015,"Denmark","DNK","Ukraine","UKR",.0075927
2015,"Denmark","DNK","United Kingdom","GBR",.0215564
2015,"Denmark","DNK","United States","USA",.0741261
2015,"Denmark","DNK","Uruguay","URY",.0099818
2015,"Denmark","DNK","Venezuela, Bolivarian Republic of","VEN",.0085632
2015,"European Monetary Union","EMU","Australia","AUS",.0058645
2015,"European Monetary Union","EMU","Austria","AUT",.0106579
2015,"European Monetary Union","EMU","Belgium","BEL",.0159049
2015,"European Monetary Union","EMU","Brazil","BRA",.0138335
2015,"European Monetary Union","EMU","Canada","CAN",.0076993
2015,"European Monetary Union","EMU","Colombia","COL",.0061466
2015,"European Monetary Union","EMU","Cyprus","CYP",.0004733
2015,"European Monetary Union","EMU","European Monetary Union","EMU",.5482215
2015,"European Monetary Union","EMU","Finland","FIN",.0037598
2015,"European Monetary Union","EMU","France","FRA",.0700319
2015,"European Monetary Union","EMU","Germany","DEU",.0849186
2015,"European Monetary Union","EMU","Greece","GRC",.0014185
2015,"European Monetary Union","EMU","Hungary","HUN",.0064477
2015,"European Monetary Union","EMU","Indonesia","IDN",.011134
2015,"European Monetary Union","EMU","Ireland","IRL",.0102276
2015,"European Monetary Union","EMU","Italy","ITA",.2050035
2015,"European Monetary Union","EMU","Japan","JPN",.0193446
2015,"European Monetary Union","EMU","Latvia","LVA",.0004381
2015,"European Monetary Union","EMU","Lithuania","LTU",.0011168
2015,"European Monetary Union","EMU","Luxembourg","LUX",.0001679
2015,"European Monetary Union","EMU","Malaysia","MYS",.0049025
2015,"European Monetary Union","EMU","Malta","MLT",6.25e-06
2015,"European Monetary Union","EMU","Mexico","MEX",.0200522
2015,"European Monetary Union","EMU","Netherlands","NLD",.0197674
2015,"European Monetary Union","EMU","Poland","POL",.0103567
2015,"European Monetary Union","EMU","Portugal","PRT",.0101095
2015,"European Monetary Union","EMU","Russian Federation","RUS",.0056775
2015,"European Monetary Union","EMU","Slovakia","SVK",.0007583
2015,"European Monetary Union","EMU","Slovenia","SVN",.002977
2015,"European Monetary Union","EMU","South Africa","ZAF",.0070284
2015,"European Monetary Union","EMU","Spain","ESP",.1104843
2015,"European Monetary Union","EMU","Sweden","SWE",.0074832
2015,"European Monetary Union","EMU","Turkey","TUR",.0107874
2015,"European Monetary Union","EMU","United Kingdom","GBR",.0397635
2015,"European Monetary Union","EMU","United States","USA",.2072342
2015,"Norway","NOR","Austria","AUT",.006354
2015,"Norway","NOR","Canada","CAN",.004737
2015,"Norway","NOR","Croatia","HRV",.0044137
2015,"Norway","NOR","European Monetary Union","EMU",.1319166
2015,"Norway","NOR","Finland","FIN",.0041034
2015,"Norway","NOR","France","FRA",.0731831
2015,"Norway","NOR","Germany","DEU",.0129519
2015,"Norway","NOR","Italy","ITA",.0104071
2015,"Norway","NOR","Japan","JPN",.02386
2015,"Norway","NOR","Mexico","MEX",.0064177
2015,"Norway","NOR","Norway","NOR",.7384771
2015,"Norway","NOR","Portugal","PRT",.0033882
2015,"Norway","NOR","Slovenia","SVN",.0036407
2015,"Norway","NOR","Spain","ESP",.0114917
2015,"Norway","NOR","Sweden","SWE",.0092817
2015,"Norway","NOR","United Kingdom","GBR",.0107964
2015,"Norway","NOR","United States","USA",.0585148
2015,"Sweden","SWE","Austria","AUT",.0005948
2015,"Sweden","SWE","Belgium","BEL",.0010294
2015,"Sweden","SWE","European Monetary Union","EMU",.0334416
2015,"Sweden","SWE","Finland","FIN",.0006348
2015,"Sweden","SWE","France","FRA",.0028708
2015,"Sweden","SWE","Germany","DEU",.0029965
2015,"Sweden","SWE","Ireland","IRL",.0039451
2015,"Sweden","SWE","Italy","ITA",.0164293
2015,"Sweden","SWE","Netherlands","NLD",.001055
2015,"Sweden","SWE","Portugal","PRT",.0015106
2015,"Sweden","SWE","Spain","ESP",.0023753
2015,"Sweden","SWE","Sweden","SWE",.9418334
